"","Fold1","Fold2","Fold3","Fold4","Fold5","Average"
"Sensitivity",0.89010989010989,0.857142857142857,0.934065934065934,0.901098901098901,0.955555555555556,0.907594627594628
"Specificity",0.923076923076923,0.923076923076923,0.549450549450549,0.544444444444444,0.593406593406593,0.706691086691087
"Pos Pred Value",0.920454545454546,0.917647058823529,0.674603174603175,0.666666666666667,0.699186991869919,0.775711687483567
"Neg Pred Value",0.893617021276596,0.865979381443299,0.892857142857143,0.844827586206897,0.931034482758621,0.885663122908511
"Precision",0.920454545454545,0.917647058823529,0.674603174603175,0.666666666666667,0.699186991869919,0.775711687483567
"Recall",0.89010989010989,0.857142857142857,0.934065934065934,0.901098901098901,0.955555555555556,0.907594627594628
"F1",0.905027932960894,0.886363636363636,0.783410138248848,0.766355140186916,0.807511737089202,0.829733716969899
"Prevalence",0.5,0.5,0.5,0.502762430939227,0.497237569060773,0.5
"Detection Rate",0.445054945054945,0.428571428571429,0.467032967032967,0.453038674033149,0.475138121546961,0.45376722724789
"Detection Prevalence",0.483516483516484,0.467032967032967,0.692307692307692,0.679558011049724,0.679558011049724,0.600394632991318
"Balanced Accuracy",0.906593406593407,0.89010989010989,0.741758241758242,0.722771672771673,0.774481074481075,0.807142857142857
